UF,Município,Masculino,Feminino,Não Informado,Total
AC,Acrelândia,99,87,10,196
AC,Assis Brasil,267,288,11,566
AC,Brasiléia,422,336,33,791
AC,Bujari,16,3,0,19
AC,Capixaba,7,3,0,10
AC,Cruzeiro do Sul,1206,1370,9,2585
AC,Epitaciolândia,15,6,0,21
AC,Feijó,342,289,14,645
AC,Jordão,2,2,0,4
AC,Mâncio Lima,1042,1171,50,2263
AC,Manoel Urbano,117,98,18,233
AC,Marechal Thaumaturgo,414,261,11,686
AC,Plácido de Castro,181,99,7,287
AC,Porto Acre,254,142,14,410
AC,Porto Walter,286,271,29,586
AC,Rio Branco,1411,843,23,2277
AC,Rodrigues Alves,850,807,39,1696
AC,Santa Rosa do Purus,1,0,0,1
AC,Senador Guiomard,9,8,1,18
AC,Sena Madureira,743,587,39,1369
AC,Tarauacá,177,124,14,315
AC,Xapuri,1,0,0,1
AL,Arapiraca,4,0,0,4
AL,Barra de Santo Antônio,103,63,6,172
AL,Barra de São Miguel,11,9,0,20
AL,Belo Monte,265,269,3,537
AL,Campo Grande,1,0,0,1
AL,Carneiros,4,3,0,7
AL,Coité do Nóia,1,0,0,1
AL,Coqueiro Seco,101,192,1,294
AL,Coruripe,440,704,9,1153
AL,Delmiro Gouveia,101,39,0,140
AL,Feliz Deserto,85,204,0,289
AL,Igaci,29,4,0,33
AL,Igreja Nova,793,1224,12,2029
AL,Japaratinga,242,482,3,727
AL,Jaramataia,126,117,0,243
AL,Jequiá da Praia,100,66,0,166
AL,Joaquim Gomes,0,1,0,1
AL,Jundiá,1,0,0,1
AL,Maceió,4644,5509,9,10162
AL,Maragogi,778,1702,3,2483
AL,Maravilha,75,103,7,185
AL,Marechal Deodoro,266,381,1,648
AL,Murici,1,1,0,2
AL,Olho d`Água das Flores,0,2,0,2
AL,Olho d`Água do Casado,3,0,0,3
AL,Olho d`Água Grande,5,12,1,18
AL,Palmeira dos Índios,4,0,1,5
AL,Pão de Açúcar,120,109,1,230
AL,Pariconha,1,0,0,1
AL,Paripueira,97,139,4,240
AL,Passo de Camaragibe,180,71,0,251
AL,Penedo,449,631,1,1081
AL,Piaçabuçu,525,641,13,1179
AL,Pilar,147,102,1,250
AL,Piranhas,191,188,1,380
AL,Poço das Trincheiras,0,2,0,2
AL,Porto Calvo,2,1,0,3
AL,Porto de Pedras,64,78,0,142
AL,Porto Real do Colégio,388,630,38,1056
AL,Quebrangulo,2,0,0,2
AL,Rio Largo,1,0,0,1
AL,Roteiro,127,269,7,403
AL,Santa Luzia do Norte,28,46,0,74
AL,Santana do Mundaú,0,1,0,1
AL,São Brás,153,233,8,394
AL,São José da Tapera,1,2,0,3
AL,São Miguel dos Campos,5,4,0,9
AL,São Miguel dos Milagres,71,21,2,94
AL,São Sebastião,0,6,0,6
AL,Satuba,3,2,0,5
AL,Senador Rui Palmeira,1,0,0,1
AL,Traipu,276,135,2,413
AM,Alvarães,98,87,1,186
AM,Amaturá,117,69,0,186
AM,Anamã,483,412,8,903
AM,Anori,1124,810,4,1938
AM,Apuí,88,81,1,170
AM,Atalaia do Norte,252,253,0,505
AM,Autazes,1531,1255,23,2809
AM,Barcelos,333,131,0,464
AM,Barreirinha,348,148,1,497
AM,Benjamin Constant,1683,908,0,2591
AM,Beruri,1066,662,1,1729
AM,Boa Vista do Ramos,140,66,1,207
AM,Boca do Acre,492,276,4,772
AM,Borba,1262,962,6,2230
AM,Caapiranga,372,291,2,665
AM,Canutama,612,419,1,1032
AM,Carauari,205,87,1,293
AM,Careiro,2963,1900,3,4866
AM,Careiro da Várzea,542,458,11,1011
AM,Coari,1927,1115,24,3066
AM,Codajás,453,409,5,867
AM,Eirunepé,266,204,3,473
AM,Envira,366,164,2,532
AM,Fonte Boa,1896,1018,22,2936
AM,Guajará,123,44,0,167
AM,Humaitá,92,54,1,147
AM,Ipixuna,689,475,0,1164
AM,Iranduba,1242,801,5,2048
AM,Itacoatiara,2961,2137,9,5107
AM,Itamarati,107,64,0,171
AM,Itapiranga,396,444,33,873
AM,Japurá,57,39,0,96
AM,Juruá,325,230,5,560
AM,Jutaí,547,522,8,1077
AM,Lábrea,261,197,13,471
AM,Manacapuru,5128,3592,32,8752
AM,Manaquiri,799,389,1,1189
AM,Manaus,16997,9391,9,26397
AM,Manicoré,404,357,6,767
AM,Maraã,200,128,1,329
AM,Maués,149,62,3,214
AM,Nhamundá,143,55,0,198
AM,Nova Olinda do Norte,317,147,4,468
AM,Novo Airão,187,145,1,333
AM,Novo Aripuanã,185,120,8,313
AM,Parintins,1485,243,4,1732
AM,Pauini,302,146,1,449
AM,Presidente Figueiredo,134,71,6,211
AM,Rio Preto da Eva,188,119,3,310
AM,Santa Isabel do Rio Negro,232,192,2,426
AM,Santo Antônio do Içá,235,321,15,571
AM,São Gabriel da Cachoeira,15,15,0,30
AM,São Paulo de Olivença,391,505,4,900
AM,São Sebastião do Uatumã,83,56,0,139
AM,Silves,204,131,4,339
AM,Tabatinga,611,338,2,951
AM,Tapauá,752,706,8,1466
AM,Tefé,653,518,4,1175
AM,Tonantins,571,561,1,1133
AM,Uarini,379,264,7,650
AM,Urucará,220,105,0,325
AM,Urucurituba,1222,749,12,1983
AP,Amapá,456,360,12,828
AP,Calçoene,182,48,8,238
AP,Cutias,64,50,1,115
AP,Ferreira Gomes,80,133,2,215
AP,Itaubal,113,73,6,192
AP,Laranjal do Jari,359,251,5,615
AP,Macapá,3429,2720,47,6196
AP,Mazagão,269,265,7,541
AP,Oiapoque,244,65,7,316
AP,Pedra Branca do Amapari,51,45,9,105
AP,Porto Grande,88,108,2,198
AP,Pracuúba,152,102,2,256
AP,Santana,3414,3350,49,6813
AP,Serra do Navio,8,11,1,20
AP,Tartarugalzinho,373,493,14,880
AP,Vitória do Jari,134,223,1,358
BA,Abaré,89,88,2,179
BA,Acajutiba,1,0,0,1
BA,Adustina,55,4,0,59
BA,Alagoinhas,0,1,0,1
BA,Alcobaça,384,520,5,909
BA,Almadina,0,1,0,1
BA,Amélia Rodrigues,1,0,0,1
BA,Anagé,11,0,0,11
BA,Andorinha,25,21,0,46
BA,Angical,41,31,0,72
BA,Araci,157,88,5,250
BA,Arataca,2,0,0,2
BA,Aratuípe,73,135,1,209
BA,Aurelino Leal,82,106,1,189
BA,Banzaê,0,1,0,1
BA,Barra,1860,1267,7,3134
BA,Barra da Estiva,1,0,0,1
BA,Barra do Rocha,2,0,0,2
BA,Barreiras,166,91,0,257
BA,Barro Preto,0,1,0,1
BA,Belmonte,401,377,2,780
BA,Belo Campo,4,1,0,5
BA,Boa Nova,1,0,0,1
BA,Boa Vista do Tupim,1,2,0,3
BA,Bom Jesus da Lapa,1602,1805,9,3416
BA,Bom Jesus da Serra,5,5,0,10
BA,Buritirama,1,1,0,2
BA,Caatiba,3,0,0,3
BA,Cabaceiras do Paraguaçu,27,9,2,38
BA,Cachoeira,487,820,3,1310
BA,Cairu,1048,1183,5,2236
BA,Camacan,3,1,1,5
BA,Camaçari,37,30,0,67
BA,Camamu,895,1289,6,2190
BA,Campo Alegre de Lourdes,0,1,0,1
BA,Campo Formoso,1,0,0,1
BA,Canarana,0,1,0,1
BA,Canavieiras,832,582,15,1429
BA,Candeal,1,2,0,3
BA,Candeias,141,628,0,769
BA,Cândido Sales,1,4,0,5
BA,Cansanção,72,67,3,142
BA,Canudos,155,67,1,223
BA,Caravelas,467,571,1,1039
BA,Cardeal da Silva,0,2,0,2
BA,Carinhanha,546,398,5,949
BA,Casa Nova,2459,1904,73,4436
BA,Castro Alves,4,3,0,7
BA,Catu,2,0,0,2
BA,Central,2,0,0,2
BA,Chorrochó,52,86,0,138
BA,Cícero Dantas,0,1,0,1
BA,Conde,484,1106,2,1592
BA,Cordeiros,1,0,0,1
BA,Coribe,20,18,0,38
BA,Correntina,50,14,0,64
BA,Cotegipe,452,421,10,883
BA,Curaçá,179,138,4,321
BA,Dário Meira,2,9,0,11
BA,Entre Rios,19,0,0,19
BA,Esplanada,6,3,0,9
BA,Feira de Santana,18,15,1,34
BA,Filadélfia,8,2,0,10
BA,Floresta Azul,5,2,0,7
BA,Gavião,33,7,0,40
BA,Gentio do Ouro,2,0,0,2
BA,Glória,21,44,0,65
BA,Gongogi,15,3,0,18
BA,Guanambi,62,42,0,104
BA,Guaratinga,2,1,0,3
BA,Iaçu,0,1,0,1
BA,Ibirapitanga,4,3,0,7
BA,Ibirataia,0,1,0,1
BA,Ibitiara,1,0,0,1
BA,Ibotirama,1760,1562,13,3335
BA,Ichu,1,0,0,1
BA,Igrapiúna,130,137,4,271
BA,Iguaí,0,1,0,1
BA,Ilhéus,449,724,27,1200
BA,Ipiaú,2,0,0,2
BA,Itabela,7,1,0,8
BA,Itaberaba,27,2,0,29
BA,Itabuna,14,12,0,26
BA,Itacaré,60,48,0,108
BA,Itaguaçu da Bahia,4,4,0,8
BA,Itajuípe,4,1,0,5
BA,Itamaraju,217,195,1,413
BA,Itambé,3,1,1,5
BA,Itanhém,1,1,0,2
BA,Itaparica,804,2085,15,2904
BA,Itapé,2,2,0,4
BA,Itapebi,5,4,0,9
BA,Itapitanga,0,1,0,1
BA,Itiúba,171,178,3,352
BA,Itororó,0,1,0,1
BA,Ituberá,188,272,3,463
BA,Jaborandi,5,4,0,9
BA,Jacobina,1,0,0,1
BA,Jaguarari,7,15,0,22
BA,Jaguaripe,651,1055,8,1714
BA,Jandaíra,90,146,4,240
BA,Jequié,14,25,0,39
BA,Jiquiriçá,0,1,0,1
BA,Jitaúna,6,8,0,14
BA,Juazeiro,1545,1489,25,3059
BA,Jussari,2,2,0,4
BA,Lafaiete Coutinho,0,1,0,1
BA,Lauro de Freitas,13,4,0,17
BA,Livramento do Brumado,1,0,0,1
BA,Macajuba,1,1,0,2
BA,Macururé,0,1,0,1
BA,Madre de Deus,183,904,14,1101
BA,Maetinga,0,1,0,1
BA,Mairi,2,0,0,2
BA,Malhada,651,554,3,1208
BA,Malhada de Pedras,5,1,0,6
BA,Manoel Vitorino,12,7,0,19
BA,Mansidão,3,1,0,4
BA,Maracás,17,12,3,32
BA,Maragogipe,1616,2743,33,4392
BA,Maraú,188,219,5,412
BA,Mascote,71,94,0,165
BA,Mata de São João,11,1,0,12
BA,Medeiros Neto,60,32,0,92
BA,Monte Santo,2,2,0,4
BA,Morpará,119,96,7,222
BA,Morro do Chapéu,1,0,0,1
BA,Mucuri,176,135,0,311
BA,Mundo Novo,1,1,0,2
BA,Muniz Ferreira,120,223,4,347
BA,Muquém de São Francisco,86,109,8,203
BA,Muritiba,2,5,0,7
BA,Mutuípe,0,1,0,1
BA,Nazaré,284,755,12,1051
BA,Nilo Peçanha,278,304,11,593
BA,Nordestina,1,3,0,4
BA,Nova Soure,1,1,0,2
BA,Nova Viçosa,161,172,2,335
BA,Novo Triunfo,0,1,0,1
BA,Olindina,1,1,0,2
BA,Palmas de Monte Alto,0,1,0,1
BA,Palmeiras,0,1,0,1
BA,Paratinga,1720,1792,26,3538
